stratum,n,median_ci_width_ratio,q25_ci_width_ratio,q75_ci_width_ratio,p95_ci_width_ratio,pct_sig_loss
k=2,627,4.256987217555005,1.9242709514152971,18.13429084062048,119.70720166677133,8.61244019138756
k=3,425,3.638565864584607,1.7218326868791438,19.00469813320588,94.5631169293082,12.941176470588237
k=4-5,640,3.1030694151246054,1.6234935754737725,14.182158450160678,63.03471948675577,13.125
k=6-9,660,3.17954344138996,1.4907461978148302,9.574694203181568,45.38180173124196,17.272727272727273
k>=10,1184,3.7986244095828354,1.4912874149766884,8.507567402350485,30.209474486706874,25.084459459459456
overall,3536,3.636871929233425,1.6024996416967228,10.561553361725199,57.38226282000634,17.081447963800905
Q=0 (D1b),141,inf,inf,inf,inf,24.822695035460992
